gene_name,highly_variable,highly_variable_rank,means,variances,variances_norm,highly_variable_nbatches,variances_norm_rank,isPresentInAll,isPredicted
ITM2C,True,10704.0,4.416916661480053,15.93804877457924,0.9592217768222012,18.0,11086.0,True,False
TLK1,True,15018.5,3.659836932843717,9.341292153556658,0.8937664769756858,18.0,15369.0,True,False
CRYGB,,,,,,,,False,False
KIAA2012,True,5580.5,0.0015808800647289475,0.0015784005306816468,0.9967281139510403,18.0,4275.0,True,True
GPR55,True,6535.0,0.03052218833634157,0.03409713937061879,1.0048145298784403,18.0,5732.0,True,False
SLC39A10,True,10383.0,1.198419119935271,1.9728782237686635,0.9999924791122452,18.0,10657.0,True,False
TFPI,True,2706.5,0.46165432252442895,0.6554338902648505,1.0615787006786355,18.0,1807.0,True,True
BOK,True,5442.0,0.7221260969689426,1.40000523891052,1.0205527709087674,18.0,4057.0,True,True
CCDC115,True,10867.5,1.5514159457272672,3.210612896608827,0.9588603237392491,18.0,11330.0,True,False
SLC25A12,True,11741.5,0.9844277089686936,1.5168113011168352,0.9541454773111805,18.0,12661.0,True,False
OSBPL6,True,8838.0,0.11393539553121304,0.12849041905921288,0.9765692988128821,18.0,8638.0,True,False
UGGT1,True,11585.5,1.7766353395157777,3.347996421593237,0.9474929465335953,18.0,12431.0,True,False
PRADC1,True,11019.0,0.10339204580817825,0.11578193128086829,0.9553608413245888,18.0,11568.0,True,False
ACKR3,True,1100.5,0.21941868425966266,0.3198808331784167,1.1746651386074047,18.0,680.0,True,True
DTYMK,True,3080.5,1.4486462936453601,3.6211802012153504,1.0997063636066027,18.0,2103.0,True,True
CD302,True,11060.5,0.8835127901910749,1.3214817224414084,0.9506578048285932,18.0,11635.0,True,False
KANSL1L,True,11019.0,0.2815709217651086,0.3262238373499794,0.9501072657746926,18.0,11569.0,True,False
PPP3R1,True,11298.0,1.9714196800896246,4.412681798310627,0.9599894580599361,18.0,11983.0,True,False
RBM43,True,11109.0,0.5188398580942304,0.6692214488855824,0.9542849047476882,18.0,11707.0,True,False
SP100,True,7802.0,1.2809734237878883,2.44021046976697,0.9692717827434295,18.0,7388.0,True,False
ZRANB3,True,9722.5,0.2532893508433435,0.29671208067617255,0.9617719687878087,18.0,9768.0,True,False
SPHKAP,True,5053.5,0.002925250513474824,0.0029416257889478105,0.9956981733948231,18.0,3439.0,True,True
TMEM17,True,8995.5,0.013095164000746872,0.013247490321298757,0.9853654820084478,18.0,8838.0,True,False
SPATS2L,True,12064.5,2.0057384701562206,4.826976803909403,0.9542286652922594,18.0,13126.0,True,False
MARCHF4,,,,,,,,False,False
PLEKHM3,True,12445.5,0.4763428144644302,0.6088429496712432,0.9387479111307755,18.0,13632.0,True,False
IQCA1,True,7064.0,0.004667952947034294,0.0046711170568484355,0.9937635849154,18.0,6414.0,True,False
RPRM,,,,,,,,False,False
INPP5D,True,701.5,0.9541918217464368,2.2459410200416623,1.2910232990004842,18.0,401.0,True,True
SLC35F5,True,12857.0,2.3182299122424848,5.686178359020102,0.9351270712320299,18.0,14079.0,True,False
B3GNT2,True,6730.5,0.6556171033795979,1.03035206490527,0.9877247974274602,18.0,5997.0,True,False
CCDC93,True,11846.0,0.9363789133005539,1.49610168329573,0.9370010332377819,18.0,12812.0,True,False
MTX2,True,5532.5,4.012261156407543,13.989231493028338,0.9944218864282333,18.0,4193.0,True,True
WDR75,True,10172.5,1.6837368519325324,3.3911133791053594,0.9735210219476284,18.0,10376.0,True,False
FARP2,True,1417.0,2.9097902533142466,9.807270271189886,1.1366257304386052,18.0,890.0,True,True
KCNS3,True,3483.0,0.46011078608327627,0.9678582544626668,1.0495005150564407,18.0,2397.0,True,True
FAM178B,True,1092.0,2.070741270927989,8.306557340071656,1.2142226772670845,18.0,672.0,True,True
D2HGDH,True,12671.5,1.9074002614053651,3.8405177203250744,0.939952360357728,18.0,13897.0,True,False
TMEM37,True,3161.0,0.4336590527167486,0.665822515017974,1.0349553070650148,18.0,2164.0,True,True
MARCHF7,,,,,,,,False,False
COL5A2,True,339.5,1.3737349847513538,4.4020586652952085,1.5951248731219803,18.0,176.0,True,True
CFC1B,,,,,,,,False,False
STK25,True,12805.5,2.389917221634406,5.362638894484575,0.9187804018503252,18.0,14025.0,True,False
ATG4B,True,10392.0,4.216593016742391,16.28373144009613,0.9743787665001443,18.0,10670.0,True,False
MYO1B,True,5801.0,3.9281882118628246,14.698492765133524,1.0314566888196373,18.0,4641.0,True,True
SEPTIN2,True,15657.0,9.462587913113836,61.932423481624994,0.8573294481951876,18.0,15712.0,True,False
KCNF1,,,,,,,,False,False
C2orf50,,,,,,,,False,False
SLC66A3,True,12149.5,1.5391547893197237,2.766532086167685,0.9332115491407937,18.0,13255.0,True,False
E2F6,True,6384.0,0.0026887408974917535,0.0026815449494129737,0.9936725277253436,18.0,5542.0,True,False
NAB1,True,15093.5,4.238999190888156,15.219125345867848,0.8718126212410826,18.0,15415.0,True,False
STAT4,True,6831.0,0.13403871288977406,0.19638846739366786,1.0141736338534375,18.0,6134.0,True,False
TMEM247,,,,,,,,False,False
ATP6V1E2,True,10154.0,0.12297255243667143,0.13678086681203627,0.9604204247155468,18.0,10344.0,True,False
RHOQ,True,7419.5,1.2260285056326632,2.433213513515101,0.9858753194139914,18.0,6879.0,True,False
PIGF,True,4291.5,1.2867243418186345,2.1821095863588216,0.9912335477745872,18.0,3016.0,True,True
CRIPT,True,8252.5,0.8711147071637518,1.3204063245695903,0.9943741113657042,18.0,7920.0,True,False
UGT1A9,True,5793.5,0.0024273355324578327,0.00247126583477943,1.0060008621683616,18.0,4623.0,True,True
UGT1A6,True,5435.5,0.0017302545590340448,0.0017272822791880682,0.996903209855057,18.0,4039.0,True,True
UGT1A1,,,,,,,,False,False
HJURP,True,3810.0,0.15755274786830148,0.18434106194426905,1.0168855680098687,18.0,2647.0,True,True
TRPM8,True,5139.0,0.012447874525424783,0.015156124747610914,1.017975649636022,18.0,3547.0,True,True
FAM168B,True,7202.0,1.5236073940374681,2.9819625386163757,1.0014934245903753,18.0,6596.0,True,False
HEATR5B,True,13417.5,1.4313188523059688,2.239584755739764,0.9266361002367834,18.0,14513.0,True,False
CEBPZOS,True,10982.5,1.5641625692413021,3.1760527801036385,0.9661000554591594,18.0,11509.0,True,False
CEBPZ,True,13151.5,3.3813530839609136,9.053612006370571,0.9487404141304135,18.0,14325.0,True,False
NDUFAF7,True,11673.0,0.8432314682268003,1.139438557906345,0.9444238160087755,18.0,12568.0,True,False
PRKD3,True,3233.5,1.8398083027323084,5.365492730946574,1.0909160718991773,18.0,2209.0,True,True
QPCT,True,608.0,4.553619219518267,71.28848040943966,1.5773000723509836,18.0,339.0,True,True
CDC42EP3,,,,,,,,False,False
RAPH1,True,10523.5,0.35086823924814836,0.4257360138958902,0.9697184990061777,18.0,10837.0,True,False
WDR54,True,6139.0,0.856500902470903,1.3674128314746508,1.0150332702279952,18.0,5176.0,True,False
INO80B,True,14173.0,1.8022406174145764,3.2384942451373693,0.9151376354909418,18.0,14929.0,True,False
WBP1,,,,,,,,False,False
MRPL53,,,,,,,,False,False
CCDC142,True,12043.0,0.324540984626875,0.37538984052590574,0.9402423971390205,18.0,13088.0,True,False
TTC31,True,13865.0,1.7295325823115704,3.27546597889394,0.9106051774382529,18.0,14765.0,True,False
PCGF1,True,10222.5,0.9183419431132134,1.3117773688204584,0.9563191681272359,18.0,10438.0,True,False
TLX2,True,7765.5,0.008501898300865127,0.008653785488840455,0.996278451271967,18.0,7334.0,True,False
DQX1,True,6788.0,0.01563453040393353,0.016137165207915197,1.0013118403405488,18.0,6068.0,True,False
AUP1,True,12738.5,2.5959419929047116,6.328556739234782,0.934380053780722,18.0,13952.0,True,False
ATIC,True,3913.5,3.6715130391485653,12.333639026938677,0.9969350102325544,18.0,2735.0,True,True
SPC25,True,2614.5,0.4071450799775938,0.6322490940833627,1.107263081301178,18.0,1752.0,True,True
G6PC2,True,7547.5,0.0064728947532208874,0.006505764616828804,0.9928261504613827,18.0,7056.0,True,False
ABCB11,True,6143.0,0.00892512603472957,0.00921901915295017,1.0190821909941747,18.0,5183.0,True,False
LRP2,True,622.0,1.3925686189083215,9.743801671340757,1.489788841233974,18.0,350.0,True,True
ZNF804A,True,7758.5,0.021012012198917036,0.021790670493293352,0.9893606721921818,18.0,7324.0,True,False
CD8B2,,,,,,,,False,False
PTCD3,,,,,,,,False,False
MRPL35,,,,,,,,False,False
KDM3A,True,3980.0,1.7734611315117943,4.000525545004397,1.0368972613546366,18.0,2787.0,True,True
SCLY,True,7760.0,0.7791124665463373,1.2126540533132268,0.9967574227759854,18.0,7327.0,True,False
ESPNL,True,7811.0,0.008140909939627808,0.008199216333053046,0.9951464765602461,18.0,7399.0,True,False
KLHL30,True,7337.5,0.02495798842347669,0.027173540881954457,0.9927223282733588,18.0,6782.0,True,False
ERFE,True,7743.5,0.010456214601356819,0.010645763683307944,1.0061785994785903,18.0,7297.0,True,False
ILKAP,True,12854.5,1.901188772017178,4.28393502716499,0.9400216584006985,18.0,14077.0,True,False
HES6,True,1091.0,1.027111470716375,2.996874937346327,1.2808102079684347,18.0,671.0,True,True
TRAF3IP1,True,8702.0,1.2224808613929172,2.120130947846795,0.9723084749470057,18.0,8476.0,True,False
PDE6D,True,11002.0,1.0270865749673244,1.6702399931893233,0.9518010690398007,18.0,11544.0,True,False
NPPC,True,1537.0,0.06454222941432751,0.11721498419706117,1.1531766127549032,18.0,981.0,True,True
DIS3L2,True,11846.0,0.983942241862202,1.5456629259342525,0.941306938310243,18.0,12811.0,True,False
ALPP,,,,,,,,False,False
ALPG,,,,,,,,False,False
ALPI,,,,,,,,False,False
ECEL1,True,3877.0,0.028281570921765108,0.03213762878564182,1.0296700351968344,18.0,2706.0,True,True
PRSS56,,,,,,,,False,False
CHRND,True,5541.5,0.0015186406921018237,0.0015163532979257052,0.9968922986831171,18.0,4213.0,True,True
CHRNG,,,,,,,,False,False
VPS54,True,8943.5,1.9189518889649593,4.191267654405991,0.9650933951299648,18.0,8762.0,True,False
PELI1,True,7834.5,0.6492935831206822,0.9356585930097108,0.9941824081200219,18.0,7430.0,True,False
GPR148,,,,,,,,False,False
MZT2A,,,,,,,,False,False
